"full_name","e","q","i","om","w","ad","per_y","class","n_obs_used","A1","A2","A3","DT","spkid","prefix","neo","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","a","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"     C/2000 H3 (SOHO)",1.0000,0.005,144.57,6.32,86.03,,,PAR,8,,,,,1001509,C,,,,,,,,,,,,SAO_2008,2451652.2,51652,2000-04-17.6,J2000,,,,2451652.16,,,,,,,,,,,,,,,,,,,,,
"     C/2000 H4 (SOHO)",1.0000,0.005,144.92,8.34,87.45,,,PAR,10,,,,,1001510,C,,,,,,,,,,,,SAO_2008,2451665.4,51665,2000-04-30.9,J2000,,,,2451665.42,,,,,,,,,,,,,,,,,,,,,
"     C/2000 H5 (SOHO)",1.0000,0.005,144.80,9.18,88.09,,,PAR,8,,,,,1001511,C,,,,,,,,,,,,SAO_2008,2451665.4,51665,2000-04-30.9,J2000,,,,2451665.43,,,,,,,,,,,,,,,,,,,,,
"     C/2000 H6 (SOHO)",1.0000,0.006,145.18,337.89,67.69,,,PAR,8,,,,,1001734,C,,,,,,,,,,,,SAO_2008,2451660.9,51660,2000-04-26.4,J2000,,,,2451660.94,,,,,,,,,,,,,,,,,,,,,
"     C/2000 H7 (SOHO)",1.0000,0.008,144.20,8.17,85.98,,,PAR,14,,,,,1001735,C,,,,,,,,,,,,SAO_2008,2451663.7,51663,2000-04-29.1,J2000,,,,2451663.66,,,,,,,,,,,,,,,,,,,,,
"     C/2000 J1 (Ferris)",0.9543,2.543,98.79,28.44,147.22,108.64,414,COM,24,,,,,1000303,C,,14.2,16.6,10.,5.,0.03,,,,,,"JPL 18",2451675.5,51675,2000-05-11.0,J2000,55.59,360.00,0.002378,2451675.80,1.51e+05,1.65,643,2.66,-0.205,2.7e-03,3.3e+00,6.8e-04,1.6e-02,1.4e-02,2.2e-02,1.6e-04,6.4e+00,2.1e-04,6.0e-02,1.3e+04,.54496,,,,
"     C/2000 J2 (SOHO)",1.0000,0.034,146.61,32.19,272.21,,,PAR,13,,,,,1001512,C,,,,,,,,,,,,SAO_2008,2451672.5,51672,2000-05-08.0,J2000,,,,2451672.52,,,,,,,,,,,,,,,,,,,,,
"     C/2000 J3 (SOHO)",1.0000,0.006,142.96,10.01,85.51,,,PAR,24,,,,,1001513,C,,,,,,,,,,,,SAO_2008,2451675.0,51674,2000-05-10.4,J2000,,,,2451674.98,,,,,,,,,,,,,,,,,,,,,
"     C/2000 J4 (SOHO)",1.0000,0.006,142.56,8.91,84.92,,,PAR,19,,,,,1001514,C,,,,,,,,,,,,SAO_2008,2451680.0,51680,2000-05-15.5,J2000,,,,2451680.04,,,,,,,,,,,,,,,,,,,,,
"     C/2000 J5 (SOHO)",1.0000,0.008,138.42,341.35,64.05,,,PAR,6,,,,,1001515,C,,,,,,,,,,,,SAO_2008,2451676.7,51676,2000-05-12.1,J2000,,,,2451676.66,,,,,,,,,,,,,,,,,,,,,
"     C/2000 J6 (SOHO)",1.0000,0.006,142.38,10.21,84.61,,,PAR,7,,,,,1001516,C,,,,,,,,,,,,SAO_2008,2451676.4,51676,2000-05-11.8,J2000,,,,2451676.35,,,,,,,,,,,,,,,,,,,,,
