"full_name","e","q","i","om","w","ad","per_y","class","n_obs_used","A1","A2","A3","DT","spkid","prefix","neo","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","a","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"  487P/Siding Spring",0.6472,1.822,39.32,49.17,0.84,8.51,11.7,JFc,707,,,,,1003221,P,,7.5,15.0,31.75,5.,0.03,,,,,,"JPL 26",2458953.5,58953,2020-04-14.0,J2000,5.166,221.26,0.08395,2460606.17,4.29e+03,0.833,324,2.21,2.18,1.9e-07,4.8e-08,9.9e-07,3.3e-05,2.1e-05,1.6e-04,2.6e-05,8.0e-08,1.2e-09,3.1e-04,6.0e-05,.47669,,,,
"  488P/NEAT-PANSTARRS",0.5505,1.680,11.37,324.11,1.30,5.79,7.22,JFc,92,,,,,1004018,P,,15.7,,16.5,,,,,,,,"JPL 8",2458966.5,58966,2020-04-27.0,J2000,3.737,157.74,0.1364,2457810.35,2.64e+03,0.667,260,0.296,2.78,7.3e-07,1.2e-07,2.8e-06,3.8e-05,1.3e-04,2.9e-04,5.9e-05,1.9e-07,6.7e-09,3.7e-04,1.3e-04,.4466,,,,
"  489P/Denning",0.6456,1.575,4.01,22.58,107.96,7.31,9.37,JFc,302,,3.7e-10,,,1000925,P,,7.6,,49.25,,,,,,,,"JPL 9",2452504.5,52504,2002-08-18.0,J2000,4.443,180.38,0.1052,2454211.39,3.42e+03,0.596,232,0.0653,2.58,2.3e-06,1.8e-05,1.3e-05,9.2e-05,3.9e-03,1.1e-03,1.9e-03,3.0e-05,6.5e-07,7.2e-03,2.1e-02,.60067,,3.2e-11,,
"  490P/ATLAS",0.6485,1.063,12.28,307.60,332.52,4.99,5.26,JFc,361,,,,,1003635,P,Y,20.5,,4.5,,,,,,,,"JPL 14",2458780.5,58780,2019-10-24.0,J2000,3.025,23.10,0.1873,2458657.17,1.92e+03,0.0772,30,0.469,2.85,5.8e-08,2.9e-07,1.9e-07,1.9e-05,4.1e-05,5.6e-05,9.4e-06,4.8e-07,2.7e-08,4.3e-05,2.8e-04,.41741,,,,
"  491P/Spacewatch-PANSTARRS",0.2593,3.712,9.37,311.85,298.75,6.31,11.2,JFc,213,,,,,1003327,P,,13.8,,4.5,,,,,,,,"JPL 30",2457257.5,57257,2015-08-23.0,J2000,5.012,70.36,0.08784,2456456.51,4.1e+03,2.71,1.06e+03,0.0701,2.91,9.3e-07,9.2e-07,5.3e-06,3.3e-05,1.3e-04,2.0e-04,7.4e-05,1.2e-06,2.4e-08,7.9e-04,1.1e-03,.55513,,,,
"  492P/LINEAR",0.6921,1.766,11.48,11.49,40.89,9.71,13.7,JFc,697,6.1e-09,2.0e-09,5.3e-09,,1003116,P,,15.9,,4.5,,,,,,,,"JPL 29",2455955.5,55955,2012-01-29.0,J2000,5.736,33.45,0.07175,2455489.32,5.02e+03,0.793,309,0.0318,2.39,5.7e-07,2.6e-07,3.3e-06,1.5e-05,2.5e-04,3.6e-04,2.5e-05,4.4e-07,4.9e-09,3.6e-04,3.4e-04,.61693,1.6e-09,1.9e-09,8.3e-10,
"  493P/LONEOS",0.4656,3.824,24.11,1.11,83.17,10.49,19.1,JFc,128,,,,,1002322,P,,7.1,,14.25,,,,,,,,"JPL 56",2460570.5,60570,2024-09-17.0,J2000,7.156,335.07,0.05148,2461054.66,6.99e+03,2.95,1.15e+03,0.216,2.62,2.5e-04,2.0e-03,7.4e-04,2.1e-03,1.6e-03,2.0e-02,8.2e-03,3.0e-03,2.2e-05,5.6e-02,3.0e+00,.43719,,,,
"     C/-146 P1",1.0000,0.430,71.00,330.00,261.00,,,PAR,4,,,,,1000589,C,,,,,,,,,,,,SAO_2008,1667909.5,-732091,-146-06-28.0,J2000,,,,1667909.50,,,,,,,,,,,,,,,,,,,,,
"     C/-43 K1",1.0000,0.220,110.00,170.00,17.00,,,PAR,,,,,,1000590,C,,,,,,,,,,,,SAO_2008,1705496.5,-694504,-043-05-25.0,J2000,,,,1705496.50,,,,,,,,,,,,,,,,,,,,,
"     C/240 V1",1.0000,0.370,44.00,214.00,82.00,,,PAR,,,,,,1000591,C,,,,,,,,,,,,SAO_2008,1809031.5,-590969,0240-11-10.0,J2000,,,,1809031.50,,,,,,,,,,,,,,,,,,,,,
"     C/390 Q1",1.0000,0.920,36.00,356.00,23.00,,,PAR,3,,,,,1000592,C,,,,,,,,,,,,SAO_2008,1863752.5,-536248,0390-09-05.0,J2000,,,,1863752.50,,,,,,,,,,,,,,,,,,,,,
"     C/400 F1",1.0000,0.210,32.00,38.00,47.00,,,PAR,,,,,,1000593,C,,,,,,,,,,,,SAO_2008,1867212.5,-532788,0400-02-25.0,J2000,,,,1867212.50,,,,,,,,,,,,,,,,,,,,,
"     C/418 M1",1.0000,0.350,110.00,310.00,240.00,,,PAR,,,,,,1000594,C,,,,,,,,,,,,SAO_2008,1874009.5,-525991,0418-10-05.0,J2000,,,,1874009.50,,,,,,,,,,,,,,,,,,,,,
"     C/442 V1",1.0000,1.530,106.00,271.00,178.00,,,PAR,,,,,,1000595,C,,,,,,,,,,,,SAO_2008,1882846.5,-517154,0442-12-15.0,J2000,,,,1882846.50,,,,,,,,,,,,,,,,,,,,,
"     C/539 W1",1.0000,0.160,19.00,33.00,246.00,,,PAR,,,,,,1000596,C,,,,,,,,,,,,SAO_2008,1918236.5,-481764,0539-11-06.0,J2000,,,,1918236.50,,,,,,,,,,,,,,,,,,,,,
"     C/565 O1",1.0000,0.830,121.00,180.00,79.00,,,PAR,,,,,,1000597,C,,,,,,,,,,,,SAO_2008,1927619.5,-472381,0565-07-15.0,J2000,,,,1927619.50,,,,,,,,,,,,,,,,,,,,,
"     C/568 O1",1.0000,0.870,4.00,301.80,34.90,,,PAR,4,,,,,1000598,C,,,,,,,,,,,,SAO_2008,1928759.2,-471241,0568-08-27.7,J2000,,,,1928759.20,,,,,,,,,,,,,,,,,,,,,
"     C/574 G1",1.0000,0.730,54.00,155.00,342.00,,,PAR,3,,,,,1000599,C,,,,,,,,,,,,SAO_2008,1930794.5,-469206,0574-03-25.0,J2000,,,,1930794.50,,,,,,,,,,,,,,,,,,,,,
"     C/770 K1",1.0000,0.580,117.00,110.70,88.00,,,PAR,4,,,,,1000600,C,,,,,,,,,,,,SAO_2008,2002456.3,-397544,0770-06-05.8,J2000,,,,2002456.30,,,,,,,,,,,,,,,,,,,,,
"     C/817 C1",1.0000,1.100,120.00,315.00,202.00,,,PAR,,,,,,1000601,C,,,,,,,,,,,,SAO_2008,2019528.5,-380472,0817-03-03.0,J2000,,,,2019528.50,,,,,,,,,,,,,,,,,,,,,
"     C/868 B1",1.0000,0.420,65.00,321.00,277.00,,,PAR,3,,,,,1000602,C,,,,,,,,,,,,SAO_2008,2038157.5,-361843,0868-03-04.0,J2000,,,,2038157.50,,,,,,,,,,,,,,,,,,,,,
"     C/905 K1",1.0000,0.200,140.00,70.00,50.00,,,PAR,4,,,,,1000603,C,,,,,,,,,,,,SAO_2008,2051724.5,-348276,0905-04-26.0,J2000,,,,2051724.50,,,,,,,,,,,,,,,,,,,,,
"     C/962 B1",1.0000,0.630,119.00,2.00,85.00,,,PAR,3,,,,,1000604,C,,,,,,,,,,,,SAO_2008,2072424.5,-327576,0961-12-28.0,J2000,,,,2072424.50,,,,,,,,,,,,,,,,,,,,,
"     C/1014 C1",1.0000,0.560,117.00,174.00,84.00,,,PAR,3,,,,,1000605,C,,,,,,,,,,,,SAO_2008,2091516.5,-308484,1014-04-06.0,J2000,,,,2091516.50,,,,,,,,,,,,,,,,,,,,,
"     C/1018 P1",1.0000,0.620,35.00,185.00,197.00,,,PAR,4,,,,,1000606,C,,,,,,,,,,,,SAO_2008,2093120.5,-306880,1018-08-27.0,J2000,,,,2093120.50,,,,,,,,,,,,,,,,,,,,,
"     C/1080 P1",1.0000,0.681,6.90,322.90,73.60,,,PAR,4,,,,,1000607,C,,,,,,,,,,,,SAO_2008,2115781.4,-284219,1080-09-10.9,J2000,,,,2115781.40,,,,,,,,,,,,,,,,,,,,,
"     C/1092 A1",1.0000,0.770,124.00,114.00,62.00,,,PAR,3,,,,,1000608,C,,,,,,,,,,,,SAO_2008,2119962.5,-280038,1092-02-22.0,J2000,,,,2119962.50,,,,,,,,,,,,,,,,,,,,,
"     C/1097 T1",1.0000,0.300,41.00,352.00,298.00,,,PAR,4,,,,,1000609,C,,,,,,,,,,,,SAO_2008,2122001.5,-277999,1097-09-22.0,J2000,,,,2122001.50,,,,,,,,,,,,,,,,,,,,,
"     C/1110 K1",1.0000,0.830,137.00,321.00,358.00,,,PAR,3,,,,,1000610,C,,,,,,,,,,,,SAO_2008,2126622.5,-273378,1110-05-18.0,J2000,,,,2126622.50,,,,,,,,,,,,,,,,,,,,,
"     C/1132 T1",1.0000,0.736,106.30,213.20,114.20,,,PAR,3,,,,,1000611,C,,,,,,,,,,,,SAO_2008,2134763.2,-265237,1132-08-30.7,J2000,,,,2134763.20,,,,,,,,,,,,,,,,,,,,,
"     C/1147 A1",1.0000,0.120,110.00,282.00,300.00,,,PAR,,,,,,1000612,C,,,,,,,,,,,,SAO_2008,2140026.5,-259974,1147-01-28.0,J2000,,,,2140026.50,,,,,,,,,,,,,,,,,,,,,
"     C/1230 X1",1.0000,0.860,16.00,303.70,181.00,,,PAR,3,,,,,1000613,C,,,,,,,,,,,,SAO_2008,2170677.3,-229323,1230-12-28.8,J2000,,,,2170677.30,,,,,,,,,,,,,,,,,,,,,
"     C/1240 B1",1.0000,0.668,75.30,135.10,331.40,,,PAR,4,,,,,1000614,C,,,,,,,,,,,,SAO_2008,2173988.1,-226012,1240-01-21.6,J2000,,,,2173988.10,,,,,,,,,,,,,,,,,,,,,
"     C/1245 D1",1.0000,0.500,20.00,180.00,87.00,,,PAR,,,,,,1000615,C,,,,,,,,,,,,SAO_2008,2175884.5,-224116,1245-04-01.0,J2000,,,,2175884.50,,,,,,,,,,,,,,,,,,,,,
"     C/1264 N1",1.0000,0.825,16.40,151.04,159.71,,,PAR,7,,,,,1000616,C,,,,,,,,,,,,SAO_2008,2182934.8,-217066,1264-07-20.2,J2000,,,,2182934.79,,,,,,,,,,,,,,,,,,,,,
"     C/1293 V1",1.0000,0.780,30.00,89.00,313.00,,,PAR,,,,,,1000617,C,,,,,,,,,,,,SAO_2008,2193626.5,-206374,1293-10-28.0,J2000,,,,2193626.50,,,,,,,,,,,,,,,,,,,,,
"     C/1299 B1",1.0000,0.318,111.00,116.94,103.89,,,PAR,3,,,,,1000618,C,,,,,,,,,,,,SAO_2008,2195607.3,-204393,1299-03-31.8,J2000,,,,2195607.31,,,,,,,,,,,,,,,,,,,,,
"     C/1304 C1",1.0000,0.840,65.00,88.70,25.00,,,PAR,,,,,,1000619,C,,,,,,,,,,,,SAO_2008,2197379.0,-202622,1304-02-05.5,J2000,,,,2197379.00,,,,,,,,,,,,,,,,,,,,,
"     C/1304 Y1",1.0000,0.650,99.00,106.00,56.00,,,PAR,,,,,,1000620,C,,,,,,,,,,,,SAO_2008,2197727.5,-202273,1305-01-19.0,J2000,,,,2197727.50,,,,,,,,,,,,,,,,,,,,,
"     C/1315 U1",1.0000,1.650,125.30,176.30,27.30,,,PAR,6,,,,,1000621,C,,,,,,,,,,,,SAO_2008,2201648.6,-198352,1315-10-15.1,J2000,,,,2201648.60,,,,,,,,,,,,,,,,,,,,,
"     C/1337 M1",1.0000,0.749,143.60,97.61,79.61,,,PAR,7,,,,,1000622,C,,,,,,,,,,,,SAO_2008,2209562.4,-190438,1337-06-14.8,J2000,,,,2209562.35,,,,,,,,,,,,,,,,,,,,,
"     C/1340 F1",1.0000,1.136,176.48,187.63,32.44,,,PAR,3,,,,,1000623,C,,,,,,,,,,,,SAO_2008,2210626.1,-189374,1340-05-13.6,J2000,,,,2210626.12,,,,,,,,,,,,,,,,,,,,,
"     C/1345 O1",1.0000,0.890,23.00,150.00,210.00,,,PAR,,,,,,1000624,C,,,,,,,,,,,,SAO_2008,2212553.5,-187447,1345-08-23.0,J2000,,,,2212553.50,,,,,,,,,,,,,,,,,,,,,
"     C/1351 W1",1.0000,1.010,7.00,264.00,165.00,,,PAR,3,,,,,1000625,C,,,,,,,,,,,,SAO_2008,2214832.5,-185168,1351-11-19.0,J2000,,,,2214832.50,,,,,,,,,,,,,,,,,,,,,
"     C/1362 E1",1.0000,0.300,155.00,291.00,348.00,,,PAR,3,,,,,1000626,C,,,,,,,,,,,,SAO_2008,2218583.5,-181417,1362-02-25.0,J2000,,,,2218583.50,,,,,,,,,,,,,,,,,,,,,
"     C/1368 E1",1.0000,0.480,131.00,217.00,90.00,,,PAR,,,,,,1000627,C,,,,,,,,,,,,SAO_2008,2220844.5,-179156,1368-05-05.0,J2000,,,,2220844.50,,,,,,,,,,,,,,,,,,,,,
"     C/1376 M1",1.0000,0.550,76.00,300.70,81.00,,,PAR,3,,,,,1000628,C,,,,,,,,,,,,SAO_2008,2223854.2,-176146,1376-07-31.7,J2000,,,,2223854.20,,,,,,,,,,,,,,,,,,,,,
"     C/1402 D1",1.0000,0.380,55.00,126.00,91.00,,,PAR,,,,,,1000630,C,,,,,,,,,,,,SAO_2008,2233217.5,-166783,1402-03-21.0,J2000,,,,2233217.50,,,,,,,,,,,,,,,,,,,,,
"     C/1433 R1",1.0000,0.493,103.98,104.25,189.39,,,PAR,3,,,,,1000631,C,,,,,,,,,,,,SAO_2008,2244772.8,-155228,1433-11-08.2,J2000,,,,2244772.77,,,,,,,,,,,,,,,,,,,,,
"     C/1439 F1",1.0000,0.120,81.00,192.00,140.00,,,PAR,3,,,,,1000632,C,,,,,,,,,,,,SAO_2008,2246780.5,-153220,1439-05-09.0,J2000,,,,2246780.50,,,,,,,,,,,,,,,,,,,,,
"     C/1449 Y1",1.0000,0.327,155.68,268.81,356.69,,,PAR,20,,,,,1000633,C,,,,,,,,,,,,SAO_2008,2250648.4,-149352,1449-12-09.8,J2000,,,,2250648.37,,,,,,,,,,,,,,,,,,,,,
"     C/1457 L1",1.0000,0.770,7.33,187.55,183.28,,,PAR,3,,,,,1000635,C,,,,,,,,,,,,SAO_2008,2253446.6,-146554,1457-08-08.1,J2000,,,,2253446.60,,,,,,,,,,,,,,,,,,,,,
"     C/1458 Y1",1.0000,0.490,69.00,117.00,258.00,,,PAR,,,,,,1000636,C,,,,,,,,,,,,SAO_2008,2253902.5,-146098,1458-11-07.0,J2000,,,,2253902.50,,,,,,,,,,,,,,,,,,,,,
"     C/1462 M1",1.0000,0.250,130.00,316.00,137.00,,,PAR,,,,,,1000637,C,,,,,,,,,,,,SAO_2008,2255268.5,-144732,1462-08-04.0,J2000,,,,2255268.50,,,,,,,,,,,,,,,,,,,,,
"     C/1468 S1",1.0000,0.850,138.00,106.70,91.00,,,PAR,3,,,,,1000638,C,,,,,,,,,,,,SAO_2008,2257524.8,-142476,1468-10-07.3,J2000,,,,2257524.80,,,,,,,,,,,,,,,,,,,,,
"     C/1471 Y1",1.0000,0.486,170.87,292.87,245.73,,,PAR,3,,,,,1000639,C,,,,,,,,,,,,SAO_2008,2258765.9,-141235,1472-03-01.4,J2000,,,,2258765.94,,,,,,,,,,,,,,,,,,,,,
"     C/1490 Y1",1.0000,0.738,51.65,295.89,129.84,,,PAR,3,,,,,1000640,C,,,,,,,,,,,,SAO_2008,2265638.5,-134362,1490-12-24.9,J2000,,,,2265638.47,,,,,,,,,,,,,,,,,,,,,
"     C/1499 Q1",1.0000,0.950,16.00,329.00,42.00,,,PAR,3,,,,,1000641,C,,,,,,,,,,,,SAO_2008,2268818.5,-131182,1499-09-09.0,J2000,,,,2268818.50,,,,,,,,,,,,,,,,,,,,,
"     C/1500 H1",1.0000,1.110,99.00,305.00,352.00,,,PAR,3,,,,,1000642,C,,,,,,,,,,,,SAO_2008,2269052.5,-130948,1500-04-30.0,J2000,,,,2269052.50,,,,,,,,,,,,,,,,,,,,,
"     C/1506 O1",1.0000,0.840,115.00,155.70,200.00,,,PAR,3,,,,,1000643,C,,,,,,,,,,,,SAO_2008,2271364.0,-128636,1506-08-28.5,J2000,,,,2271364.00,,,,,,,,,,,,,,,,,,,,,
"     C/1532 R1",1.0000,0.519,32.59,93.81,24.53,,,PAR,3,,,,,1000644,C,,,,,,,,,,,,SAO_2008,2280912.3,-119088,1532-10-18.8,J2000,,,,2280912.33,,,,,,,,,,,,,,,,,,,,,
"     C/1533 M1",1.0000,0.255,149.59,125.42,21.40,,,PAR,10,,,,,1000645,C,,,,,,,,,,,,SAO_2008,2281151.9,-118849,1533-06-15.4,J2000,,,,2281151.92,,,,,,,,,,,,,,,,,,,,,
"     C/1538 A1",1.0000,0.148,42.46,356.20,287.70,,,PAR,5,,,,,1000646,C,,,,,,,,,,,,SAO_2008,2282810.8,-117190,1537-12-30.3,J2000,,,,2282810.82,,,,,,,,,,,,,,,,,,,,,
"     C/1539 H1",1.0000,0.961,18.60,55.10,174.50,,,PAR,3,,,,,1000647,C,,,,,,,,,,,,SAO_2008,2283309.1,-116691,1539-05-12.6,J2000,,,,2283309.10,,,,,,,,,,,,,,,,,,,,,
"     C/1556 D1",1.0000,0.491,32.37,181.44,100.87,,,PAR,36,,,,,1000648,C,,,,,,,,,,,,SAO_2008,2289499.2,-110501,1556-04-22.6,J2000,,,,2289499.19,,,,,,,,,,,,,,,,,,,,,
"     C/1557 T1",1.0000,0.500,42.00,212.00,94.00,,,PAR,3,,,,,1000649,C,,,,,,,,,,,,SAO_2008,2290016.5,-109984,1557-09-22.0,J2000,,,,2290016.50,,,,,,,,,,,,,,,,,,,,,
"     C/1558 P1",1.0000,0.316,76.40,155.50,55.50,,,PAR,9,,,,,1000650,C,,,,,,,,,,,,EXT2021,2290338.5,-109662,1558-08-10.0,J2000,,,,2290322.51,,0.189,73.4,1.9,,,,,,,,,,,,,,,,,
"     C/1577 V1",1.0000,0.177,104.88,31.24,255.67,,,PAR,24,,,,,1000651,C,,,,,,,,,,,,SAO_2008,2297356.9,-102644,1577-10-27.4,J2000,,,,2297356.95,,,,,,,,,,,,,,,,,,,,,
"     C/1580 T1",1.0000,0.602,64.61,24.95,89.37,,,PAR,10,,,,,1000652,C,,,,,,,,,,,,SAO_2008,2298451.5,-101549,1580-10-26.0,J2000,,,,2298485.49,,,,,,,,,,,,,,,,,,,,,
"     C/1582 J1",1.0000,0.169,118.54,233.03,331.89,,,PAR,3,,,,,1000653,C,,,,,,,,,,,,SAO_2008,2299009.4,-100991,1582-05-06.9,J2000,,,,2299009.41,,,,,,,,,,,,,,,,,,,,,
"     C/1585 T1",1.0000,1.095,6.13,43.14,331.78,,,PAR,28,,,,,1000654,C,,,,,,,,,,,,SAO_2008,2300282.5,-99718,1585-11-10.0,J2000,,,,2300250.03,,,,,,,,,,,,,,,,,,,,,
"     C/1590 E1",1.0000,0.568,150.45,171.34,307.67,,,PAR,32,,,,,1000655,C,,,,,,,,,,,,SAO_2008,2301834.0,-98166,1590-02-08.5,J2000,,,,2301834.03,,,,,,,,,,,,,,,,,,,,,
"     C/1593 O1",1.0000,0.089,87.91,169.92,12.07,,,PAR,3,,,,,1000656,C,,,,,,,,,,,,SAO_2008,2303090.6,-96910,1593-07-19.0,J2000,,,,2303090.57,,,,,,,,,,,,,,,,,,,,,
"     C/1596 N1",1.0000,0.567,128.08,335.96,59.41,,,PAR,3,,,,,1000657,C,,,,,,,,,,,,SAO_2008,2304193.2,-95807,1596-07-25.7,J2000,,,,2304193.21,,,,,,,,,,,,,,,,,,,,,
"     C/1618 Q1",1.0000,0.513,21.49,298.84,24.80,,,PAR,7,,,,,1000658,C,,,,,,,,,,,,SAO_2008,2312251.1,-87749,1618-08-17.6,J2000,,,,2312251.13,,,,,,,,,,,,,,,,,,,,,
"     C/1618 V1",1.0000,0.744,8.40,229.50,155.90,,,PAR,6,,,,,1000659,C,,,,,,,,,,,,SAO_2008,2312322.4,-87678,1618-10-27.9,J2000,,,,2312322.40,,,,,,,,,,,,,,,,,,,,,
"     C/1618 W1",1.0000,0.390,37.20,81.00,287.44,,,PAR,42,,,,,1000660,C,,,,,,,,,,,,SAO_2008,2312334.4,-87666,1618-11-08.8,J2000,,,,2312334.35,,,,,,,,,,,,,,,,,,,,,
"     C/1639 U1",1.0000,0.816,61.70,219.70,237.40,,,PAR,4,,,,,1000661,C,,,,,,,,,,,,SAO_2008,2320024.9,-79976,1639-11-29.4,J2000,,,,2320024.90,,,,,,,,,,,,,,,,,,,,,
"     C/1652 Y1",1.0000,0.848,79.46,93.00,300.19,,,PAR,54,,,,,1000662,C,,,,,,,,,,,,SAO_2008,2324757.7,-75243,1652-11-13.1,J2000,,,,2324757.65,,,,,,,,,,,,,,,,,,,,,
"     C/1661 C1",1.0000,0.443,33.02,86.56,33.45,,,PAR,3,,,,,1000663,C,,,,,,,,,,,,SAO_2001,2327754.9,-72246,1661-01-27.3,J2000,,,,2327754.88,,,,,,,,,,,,,,,,,,,,,
"     C/1664 W1",1.0000,1.026,158.70,86.05,310.68,,,PAR,30,,,,,1000664,C,,,,,,,,,,,,SAO_2008,2329162.5,-70838,1664-12-04.9,J2000,,,,2329162.48,,,,,,,,,,,,,,,,,,,,,
"     C/1665 F1",1.0000,0.106,103.89,232.70,156.09,,,PAR,8,,,,,1000665,C,,,,,,,,,,,,SAO_2008,2329303.2,-70697,1665-04-24.7,J2000,,,,2329303.22,,,,,,,,,,,,,,,,,,,,,
"     C/1668 E1",1.0000,0.067,144.38,3.21,109.81,,,PAR,15,,,,,1000666,C,,,,,,,,,,,,SAO_2008,2330342.6,-69658,1668-02-28.0,J2000,,,,2330342.58,,,,,,,,,,,,,,,,,,,,,
"     C/1672 E1",1.0000,0.695,82.97,302.69,109.52,,,PAR,34,,,,,1000667,C,,,,,,,,,,,,SAO_2008,2331806.4,-68194,1672-03-01.9,J2000,,,,2331806.45,,,,,,,,,,,,,,,,,,,,,
"     C/1677 H1",1.0000,0.281,100.93,241.32,99.16,,,PAR,10,,,,,1000668,C,,,,,,,,,,,,SAO_2008,2333698.0,-66302,1677-05-06.5,J2000,,,,2333698.03,,,,,,,,,,,,,,,,,,,,,
"     C/1680 V1",1.0000,0.006,60.68,276.63,350.61,888.85,,COM,30,,,,,1000669,C,,,,,,,,,,,,SAO_2008,2335000.5,-65000,1680-11-29.0,J2000,444.4,-0.00,0.0001052,2335019.99,,,,,0.06,,,,,,,,,,,,,,,,
"     C/1683 O1",1.0000,0.560,96.74,177.84,87.81,,,PAR,,,,,,1000670,C,,,,,,,,,,,,SAO_2008,2335957.1,-64043,1683-07-13.5,J2000,,,,2335957.09,,,,,,,,,,,,,,,,,,,,,
"     C/1684 N1",1.0000,0.958,65.42,272.60,330.30,,,PAR,,,,,,1000671,C,,,,,,,,,,,,SAO_2008,2336288.3,-63712,1684-06-08.7,J2000,,,,2336288.26,,,,,,,,,,,,,,,,,,,,,
"     C/1686 R1",1.0000,0.336,34.97,358.44,81.91,,,PAR,3,,,,,1000672,C,,,,,,,,,,,,SAO_2008,2337117.8,-62883,1686-09-16.3,J2000,,,,2337117.83,,,,,,,,,,,,,,,,,,,,,
"     C/1689 X1",1.0000,0.064,63.20,283.75,78.13,,,PAR,4,,,,,1000673,C,,,,,,,,,,,,SAO_2008,2338289.2,-61711,1689-11-30.6,J2000,,,,2338289.16,,,,,,,,,,,,,,,,,,,,,
"     C/1695 U1",1.0000,0.042,93.59,286.02,59.12,,,PAR,13,,,,,1000674,C,,,,,,,,,,,,SAO_2008,2340442.3,-59558,1695-10-23.7,J2000,,,,2340442.27,,,,,,,,,,,,,,,,,,,,,
"     C/1698 R1",1.0000,0.729,169.09,70.28,151.38,,,PAR,3,,,,,1000675,C,,,,,,,,,,,,SAO_2008,2341532.0,-58468,1698-10-17.5,J2000,,,,2341532.02,,,,,,,,,,,,,,,,,,,,,
"     C/1699 D1",1.0000,0.749,109.42,325.89,109.52,,,PAR,3,,,,,1000676,C,,,,,,,,,,,,SAO_2008,2341620.4,-58380,1699-01-13.9,J2000,,,,2341620.40,,,,,,,,,,,,,,,,,,,,,
"     C/1701 U1",1.0000,0.593,138.37,302.81,164.95,,,PAR,3,,,,,1000677,C,,,,,,,,,,,,SAO_2008,2342627.4,-57373,1701-10-17.9,J2000,,,,2342627.41,,,,,,,,,,,,,,,,,,,,,
"     C/1702 H1",1.0000,0.647,4.38,193.29,309.64,,,PAR,5,,,,,1000678,C,,,,,,,,,,,,SAO_2008,2342774.6,-57226,1702-03-14.1,J2000,,,,2342774.61,,,,,,,,,,,,,,,,,,,,,
"     C/1706 F1",1.0000,0.427,55.27,17.28,59.43,,,PAR,6,,,,,1000679,C,,,,,,,,,,,,SAO_2008,2344193.2,-55807,1706-01-30.7,J2000,,,,2344193.21,,,,,,,,,,,,,,,,,,,,,
"     C/1707 W1",1.0000,0.859,88.65,56.92,27.16,,,PAR,4,,,,,1000680,C,,,,,,,,,,,,SAO_2008,2344874.0,-55127,1707-12-12.4,J2000,,,,2344873.99,,,,,,,,,,,,,,,,,,,,,
"     C/1718 B1",1.0000,1.025,148.84,131.90,6.31,,,PAR,13,,,,,1000681,C,,,,,,,,,,,,SAO_2008,2348560.9,-51440,1718-01-15.4,J2000,,,,2348560.91,,,,,,,,,,,,,,,,,,,,,
"     C/1723 T1",1.0000,0.999,130.03,18.10,331.38,,,PAR,15,,,,,1000682,C,,,,,,,,,,,,SAO_2008,2350642.6,-49358,1723-09-28.1,J2000,,,,2350642.63,,,,,,,,,,,,,,,,,,,,,
"     C/1729 P1",1.0000,4.051,77.09,314.39,10.40,,,PAR,3,,,,,1000683,C,,,,,,,,,,,,SAO_2008,2352731.1,-47269,1729-06-16.6,J2000,,,,2352731.15,,,,,,,,,,,,,,,,,,,,,
"     C/1733 K1",1.0000,0.103,23.79,271.05,187.89,,,PAR,4,,,,,1000684,C,,,,,,,,,,,,SAO_2008,2354150.7,-45850,1733-05-06.1,J2000,,,,2354150.66,,,,,,,,,,,,,,,,,,,,,
"     C/1737 C1",1.0000,0.223,18.33,230.12,99.46,,,PAR,15,,,,,1000685,C,,,,,,,,,,,,SAO_2008,2355516.3,-44484,1737-01-30.8,J2000,,,,2355516.35,,,,,,,,,,,,,,,,,,,,,
"     C/1739 K1",1.0000,0.674,124.26,211.04,104.75,,,PAR,,,,,,1000686,C,,,,,,,,,,,,SAO_2008,2356384.4,-43616,1739-06-17.9,J2000,,,,2356384.42,,,,,,,,,,,,,,,,,,,,,
"     C/1742 C1",1.0000,0.766,112.95,189.20,328.04,,,PAR,100,,,,,1000687,C,,,,,,,,,,,,SAO_2008,2357351.2,-42649,1742-02-08.6,J2000,,,,2357351.20,,,,,,,,,,,,,,,,,,,,,
"     C/1743 C1",1.0000,0.838,2.28,70.30,26.25,,,PAR,4,,,,,1000688,C,,,,,,,,,,,,SAO_2008,2357687.8,-42313,1743-01-11.3,J2000,,,,2357687.85,,,,,,,,,,,,,,,,,,,,,
"     C/1743 Q1",1.0000,0.523,134.41,9.63,119.05,,,PAR,12,,,,,1000689,C,,,,,,,,,,,,SAO_2008,2357940.6,-42060,1743-09-21.1,J2000,,,,2357940.65,,,,,,,,,,,,,,,,,,,,,
"     C/1743 X1",1.0000,0.222,47.14,49.30,151.49,,,PAR,76,,,,,1000690,C,,,,,,,,,,,,SAO_2008,2358103.3,-41897,1744-03-01.8,J2000,,,,2358103.34,,,,,,,,,,,,,,,,,,,,,
